Index,Designation,Predicted Class,Compound,Class,Total Molweight,Total Surface Area,Shape Index,Molecular Flexibility,Molecular Complexity,Rotatable Bonds,sp3-Carbon Fraction
45,TRAIN,,3-Pentanol ,B,88.1493,84.39,0.83333,0.72106,0.34657,2,1
46,TRAIN,,6-Methyl-5-hepten-2-ol ,A,128.214,121.36,0.77778,0.64108,0.48648,3,0.75
47,TRAIN,,6-Methyl-5-hepten-2-one ,A,126.198,120.26,0.77778,0.62914,0.48648,3,0.625
48,TRAIN,,Benzaldehyde,A,106.124,92.8,0.75,0.30321,0.40236,1,0
49,TRAIN,,Benzyl acetate ,A,150.176,127.03,0.72727,0.53389,0.47958,3,0.22222
50,TRAIN,,Butanal,B,72.1065,72.82,1,0.60518,0.34657,2,0.75
51,TRAIN,,Caryophyllene oxide ,B,220.355,177.3,0.4375,0.19849,0.6593,0,0.86667
52,TRAIN,,Citral,A,152.236,146.76,0.81818,0.62101,0.46052,4,0.5
53,TRAIN,,Decanal,B,156.268,155.38,1,0.52361,0.13863,8,0.9
54,TEST,B,Dodecanal ,B,184.322,182.9,1,0.51828,0.11552,10,0.91667
55,TRAIN,,Ethyl acetate ,B,88.1055,79.53,0.83333,0.28013,0.69315,2,0.75
56,TRAIN,,Ethyl phenylacetate ,B,164.203,140.79,0.75,0.6354,0.48173,4,0.3
57,TRAIN,,Eugenol,B,164.203,140.17,0.66667,0.45414,0.58773,3,0.2
58,TEST,B,Furfural ,B,96.0848,82.49,0.71429,0.13291,0.69315,1,0
59,TRAIN,,Geranyl acetate ,B,196.289,180.99,0.78571,0.62608,0.4621,6,0.58333
60,TEST,B,Geranyl linalool ,B,290.489,272.79,0.7619,0.72383,0.45401,10,0.6
61,TEST,B,Glycerol,B,92.0935,72.57,0.83333,0.81845,0.34657,2,1
62,TRAIN,,Guaiacol,A,124.139,101.87,0.66667,0.030377,0.48648,1,0.14286
63,TRAIN,,Heptanal,A,114.187,114.1,1,0.5403,0.23105,5,0.85714
64,TRAIN,,Hexanal,B,100.16,100.34,1,0.5526,0.23105,4,0.83333
65,TRAIN,,Isobornyl acetate ,B,196.289,150.39,0.5,0.094016,0.68745,2,0.91667
66,TRAIN,,Limonene,A,136.237,125.76,0.7,0.44199,0.54161,1,0.6
67,TRAIN,,Maltol,B,126.111,95.78,0.55556,0.027138,0.7083,0,0.16667
68,TEST,B,Methyl salicylate ,B,152.149,119.62,0.63636,0.34344,0.64378,2,0.125
69,TEST,A,Myrcene,A,136.237,137.54,0.8,0.64954,0.48648,4,0.4
70,TRAIN,,Neryl acetate ,B,196.289,180.99,0.78571,0.61637,0.4621,6,0.58333
71,TEST,A,Neryl alcohol ,A,154.252,147.33,0.81818,0.66122,0.43944,4,0.6
72,TRAIN,,Nonanal,A,142.241,141.62,1,0.52737,0.17329,7,0.88889
73,TRAIN,,Octanal,A,128.214,127.86,1,0.53308,0.17329,6,0.875
74,TRAIN,,Pentanal,B,86.1334,86.58,1,0.5695,0.34657,3,0.8
75,TRAIN,,Phenethyl alcohol ,A,122.166,107.13,0.77778,0.55956,0.44794,2,0.25
76,TEST,A,Phenylacetaldehyde ,B,120.151,106.56,0.77778,0.48251,0.44794,2,0.125
77,TRAIN,,Phytol,B,296.537,280.96,0.80952,0.6975,0.35499,13,0.9
78,TRAIN,,Undecanal ,B,170.295,169.14,1,0.5205,0.13863,9,0.90909
79,TRAIN,,Valencene ,B,204.356,174.95,0.53333,0.32318,0.655,1,0.73333
80,TEST,B,Vanillin,B,152.149,121.41,0.63636,0.23008,0.59915,2,0.125
81,TRAIN,,_-Caryophyllene ,B,204.356,174.95,0.46667,0.28148,0.61095,0,0.73333
82,TRAIN,,_-Copaene ,A,204.356,160.94,0.46667,0.27771,0.67407,1,0.86667
83,TEST,B,_-Farnesene ,B,204.356,202.49,0.8,0.65015,0.41291,6,0.46667
84,TRAIN,,_-Humulene ,B,204.356,190.41,0.46667,0.40631,0.48589,0,0.6
85,TRAIN,,_-Ionone ,B,192.301,167.9,0.57143,0.44278,0.61868,2,0.61538
86,TEST,A,_-Nonalactone ,A,156.224,135.07,0.72727,0.43262,0.52781,3,0.88889
87,TRAIN,,_-Phellandrene ,A,136.237,126.75,0.7,0.37539,0.55452,1,0.6
88,TRAIN,,_-Pinene,A,136.237,110.92,0.5,0.15119,0.56664,0,0.8
89,TEST,A,_-Pinene,A,136.237,110.46,0.5,0.14015,0.51299,0,0.8
90,TRAIN,,_-Terpinene,A,136.237,126.22,0.7,0.43216,0.56664,1,0.6
